timestamp,frame_no,vehicle_id,vehicle_class,plate,confidence,speed_kmh
2025-08-22 04:10:39,118,6,car,Khas,0.25,27.00
2025-08-22 04:10:40,119,4,car,Ap05 JBQ,0.31,39.31
2025-08-22 04:10:40,119,6,car,Kus,0.02,43.54
2025-08-22 04:10:40,120,4,car,Apos Jeq,0.26,39.31
2025-08-22 04:10:40,120,6,car,KI,0.09,34.15
2025-08-22 04:10:41,121,4,car,AOS JEQ ,0.29,55.07
2025-08-22 04:10:41,121,6,car,KZ,0.28,58.41
2025-08-22 04:10:41,122,4,car,AOS JEQL,0.13,48.30
2025-08-22 04:10:41,122,6,car,Ks278,0.25,34.15
2025-08-22 04:10:42,123,4,car,Ap05 JEQ,0.46,48.90
2025-08-22 04:10:42,123,6,car,KEZA,0.27,48.90
2025-08-22 04:10:42,124,4,car,Ap0s JEQ,0.35,56.38
2025-08-22 04:10:43,124,6,car,K52Zk,0.18,37.80
2025-08-22 04:10:43,125,4,car,Apos JEQ,0.18,34.15
2025-08-22 04:10:43,125,6,car,Losza,0.03,22.91
2025-08-22 04:10:43,126,4,car,Apo5 JEQ,0.32,44.53
2025-08-22 04:10:44,126,6,car,Luszh,0.14,43.20
2025-08-22 04:10:44,127,4,car,Apos JEQ,0.34,60.37
2025-08-22 04:10:44,127,6,car,Kszh,0.11,65.02
2025-08-22 04:10:44,128,4,car,Apos JeQ,0.17,43.54
2025-08-22 04:10:45,128,6,car,Damn,0.03,42.18
2025-08-22 04:10:45,129,4,car,Zp05 JEO,0.27,61.57
2025-08-22 04:10:45,129,6,car,Hosz,0.09,44.53
2025-08-22 04:10:45,129,31,car,LhizvcV,0.16,55.60
2025-08-22 04:10:45,130,4,car,4po5 JEQ,0.31,51.23
2025-08-22 04:10:46,130,6,car,KhOSZZ,0.09,123.14
2025-08-22 04:10:46,130,31,car,LhjcV,0.19,36.22
2025-08-22 04:10:46,131,4,car,Apo5 JEQ,0.16,38.18
2025-08-22 04:10:46,131,6,car,KH0SZZk,0.05,21.60
2025-08-22 04:10:46,131,31,car,LwijvcV,0.37,27.00
2025-08-22 04:10:46,132,4,car,Zpos JEO,0.17,58.16
2025-08-22 04:10:47,132,6,car,K05ZZK,0.21,36.22
2025-08-22 04:10:47,132,31,car,LwijvcV,0.26,49.79
2025-08-22 04:10:47,133,4,car,Apos JEO,0.50,31.49
2025-08-22 04:10:47,133,6,car,KISA,0.11,53.18
2025-08-22 04:10:47,133,31,car,LICI,0.10,48.30
2025-08-22 04:10:47,134,4,car,Apos JeQ},0.17,32.85
2025-08-22 04:10:48,134,6,car,KSA,0.12,97.35
2025-08-22 04:10:48,134,31,car,LhijvcV,0.31,48.30
2025-08-22 04:10:48,135,4,car,Apos JEO,0.33,75.60
2025-08-22 04:10:48,135,6,car,KHOSZ*,0.12,97.35
2025-08-22 04:10:48,135,31,car,LJWCV,0.14,43.54
2025-08-22 04:10:49,136,4,car,Apos Jeot,0.12,41.13
2025-08-22 04:10:49,136,6,car,GISZA,0.13,57.40
2025-08-22 04:10:49,136,31,car,HECV,0.10,79.73
2025-08-22 04:10:49,137,4,car,Apos JeO,0.12,54.27
2025-08-22 04:10:49,137,6,car,KHOSZXK,0.26,24.15
2025-08-22 04:10:49,137,31,car,LMIJVCV,0.13,31.49
2025-08-22 04:10:50,138,4,car,Apos Jeo,0.20,48.30
2025-08-22 04:10:50,138,6,car,CH52K,0.09,38.18
2025-08-22 04:10:50,138,31,car,LhijVcv,0.10,51.23
2025-08-22 04:10:50,139,4,car,Apos Jeo,0.45,56.38
2025-08-22 04:10:50,139,6,car,FHOS2K,0.06,61.09
2025-08-22 04:10:50,139,31,car,Lhijvcv,0.25,55.60
2025-08-22 04:10:51,140,4,car,Apos Jeo,0.48,41.13
2025-08-22 04:10:51,140,6,car,FIS2K,0.16,71.03
2025-08-22 04:10:51,140,31,car,LhijvcV,0.51,46.45
2025-08-22 04:10:51,141,4,car,Apos Jeo,0.71,60.37
2025-08-22 04:10:52,141,6,car,Qzi,0.10,57.40
2025-08-22 04:10:52,142,4,car,Apos Jeo,0.35,51.23
2025-08-22 04:10:52,142,6,car,Qszu,0.20,76.75
2025-08-22 04:10:53,143,4,car,Apos Jeo,0.59,22.26
2025-08-22 04:10:53,143,6,car,HsZ,0.11,43.54
2025-08-22 04:10:54,144,4,car,Apos Jeo,0.29,72.04
2025-08-22 04:10:54,144,6,car,KHOSZZK,0.40,56.38
2025-08-22 04:10:54,145,4,car,Apos Jeo,0.44,73.45
2025-08-22 04:10:54,145,6,car,C5K,0.47,84.00
2025-08-22 04:10:55,146,4,car,Apos Jeo,0.58,34.15
2025-08-22 04:10:55,146,6,car,HSEK,0.33,72.45
2025-08-22 04:10:56,147,4,car,Apos Jeo,0.63,64.80
